Root,Type,Type 2,E,A,D,G,B,E-2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
A#,13,,x,1,0,2,3,4,1;3;5;b7;9;11;13,A#,C##,G#,B#,F##,
A#,13,,4,x,3,2,1,1,1;3;5;b7;9;11;13,A#,G#,B#,C##,F##,
A#,13,,1,x,1,2,3,4,1;3;5;b7;9;11;13,A#,G#,C##,F##,B#,
A#,7(#9),,x,1,0,2,4,3,1;3;5;b7;#9,A#,C##,G#,B##,E#,
A#,7(#9),,2,1,3,3,3,x,1;3;5;b7;#9,A#,C##,G#,B##,E#,
A#,7(#9),,1,3,1,2,1,4,1;3;5;b7;#9,A#,E#,G#,C##,E#,B##
A#,9,,x,2,0,3,4,x,1;3;5;b7;9,A#,C##,G#,B#,,
A#,9,,x,1,3,2,4,x,1;3;5;b7;9,C##,G#,B#,E#,,
A#,9,,1,x,1,2,1,4,1;3;5;b7;9,A#,G#,C##,E#,B#,
A#,9b5,,0,1,0,2,3,0,1;3;b5;b7;9,E,A#,C##,G#,B#,E
A#,9b5,,2,1,3,1,1,4,1;3;b5;b7;9,A#,C##,G#,B#,E,A#
A#,9b5,,x,x,1,2,3,1,1;3;b5;b7;9,A#,E,G#,B#,,
A#,7,,x,1,3,1,4,1,1;3;5;b7,A#,E#,G#,C##,E#,
A#,7,,1,3,1,2,4,1,1;3;5;b7,A#,E#,G#,C##,G#,A#
A#,7,,x,x,1,3,2,4,1;3;5;b7,A#,E#,G#,C##,,
A#,dim7,,2,4,1,3,x,x,1;b3;b5;bb7,G,C#,E,A#,,
A#,dim7,,x,2,3,1,4,x,1;b3;b5;bb7,C#,G,A#,E,,
A#,dim7,,x,x,1,3,2,4,1;b3;b5;bb7,A#,E,G,C#,,
A#,dim7,,x,1,2,0,3,x,1;b3;b5;bb7,A#,E,G,C#,,
A#,dim7,,2,x,1,3,x,x,1;b3;b5;bb7,A#,G,C#,,,
A#,dim7,,2,x,1,3,x,x,1;b3;b5;bb7,C#,A#,E,,,
A#,dim7,,3,x,1,4,2,x,1;b3;b5;bb7,A#,G,C#,E,,
A#,dim7,,x,2,3,1,4,x,1;b3;b5;bb7,E,A#,C#,G,,
A#,aug,,x,3,2,1,1,x,1;3;#5,C##,E##,A#,C##,,
A#,aug,,4,3,2,1,x,x,1;3;#5,A#,C##,E##,A#,,
A#,aug,,x,x,4,2,3,1,1;3;#5,C##,E##,A#,C##,,
A#,maj,,x,1,3,3,3,x,1;3;5,A#,E#,A#,C##,,
A#,maj,,1,3,4,2,1,1,1;3;5,A#,E#,A#,C##,E#,A#
A#,maj,,x,4,3,1,2,1,1;3;5,A#,C##,E#,A#,C##,
A#,11,,x,1,1,1,1,1,1;3;5;b7;9;11,A#,D#,G#,B#,E#,
A#,11,,3,x,4,2,1,1,1;3;5;b7;9;11,A#,G#,B#,D#,G#,
A#,11,,x,x,1,1,2,1,1;3;5;b7;9;11,A#,D#,G#,B#,,
A#,maj9,,x,1,0,4,2,3,1;3;5;7;9,A#,C##,G##,B#,E#,
A#,maj9,,2,1,4,1,x,x,1;3;5;7;9,A#,C##,G##,B#,,
A#,maj9,,x,x,4,1,2,1,1;3;5;7;9,A#,B#,E#,G##,,
A#,m,,x,1,3,4,2,1,1;b3;5,A#,E#,A#,C#,E#,
A#,m,,1,3,4,1,1,1,1;b3;5,A#,E#,A#,C#,E#,A#
A#,m,,x,x,1,3,4,2,1;b3;5,A#,E#,A#,C#,,
A#,m,,x,x,3,1,1,x,1;b3;5,A#,C#,E#,,,
A#,7b5,,x,1,2,1,3,x,1;3;b5;b7,A#,E,G#,C##,,
A#,7b5,,x,x,2,4,1,3,1;3;b5;b7,G#,C##,E,A#,,
A#,7b5,,x,x,1,2,3,4,1;3;b5;b7,A#,E,G#,C##,,
A#,m7,,x,1,3,1,2,1,1;b3;5;b7,A#,E#,G#,C#,E#,
A#,m7,,1,3,1,1,4,1,1;b3;5;b7,A#,E#,G#,C#,G#,A#
A#,m7,,x,x,1,4,2,3,1;b3;5;b7,A#,E#,G#,C#,,
A#,dim,,x,1,2,3,4,x,1;b3;b5,A#,E,A#,C#,,
A#,dim,,x,x,4,3,1,2,1;b3;b5,A#,C#,E,A#,,
A#,dim,,1,2,3,1,x,x,1;b3;b5,A#,E,A#,C#,,
A#,6,,x,1,3,3,3,3,1;3;5;6,A#,E#,A#,C##,F##,
A#,6,,1,x,3,2,4,1,1;3;5;6,A#,A#,C##,F##,A#,
A#,6,,x,x,1,3,1,4,1;3;5;6,A#,E#,F##,C##,,
A#,7(#5),,x,1,4,1,3,2,1;3;#5;b7,A#,E##,G#,C##,E##,
A#,7(#5),,1,x,1,2,3,1,1;3;#5;b7,A#,G#,C##,E##,A#,
A#,7(#5),,x,1,2,1,1,x,1;3;#5;b7,G#,C##,E##,A#,,
A#,7sus4,,x,1,3,1,4,1,1;4;5;b7,A#,E#,G#,D#,E#,
A#,7sus4,,1,3,1,4,1,1,1;4;5;b7,A#,E#,G#,D#,E#,A#
A#,7sus4,,x,x,1,3,2,4,1;4;5;b7,A#,E#,G#,D#,,
A#,maj7,,x,1,3,2,4,1,1;3;5;7,A#,E#,G##,C##,E#,
A#,maj7,,1,4,2,3,1,x,1;3;5;7,A#,E#,G##,C##,E#,
A#,maj7,,x,4,3,1,1,1,1;3;5;7,A#,C##,E#,G##,C##,
A#,5,,1,3,x,x,x,x,1;5,A#,E#,,,,
A#,m6,,x,1,3,0,2,4,1;b3;5;6,A#,E#,F##,C#,F##,
A#,m6,,1,x,3,1,4,1,1;b3;5;6,A#,A#,C#,F##,A#,
A#,m6,,x,x,1,3,1,2,1;b3;5;6,A#,E#,F##,C#,,
A#,7(b9),,x,1,0,2,x,3,1;3;5;b7;b9,A#,C##,G#,E#,,
A#,7(b9),,3,2,4,1,x,x,1;3;5;b7;b9,A#,C##,G#,B,,
A#,7(b9),,1,x,1,2,1,3,1;3;5;b7;b9,A#,G#,C##,E#,B,
A#,m9,,3,1,4,2,x,x,1;b3;5;b7;9,A#,C#,G#,B#,,
A#,m9,,1,3,1,1,1,4,1;b3;5;b7;9,A#,E#,G#,C#,E#,B#
A#,m9,,x,2,1,3,4,x,1;b3;5;b7;9,A#,C#,G#,B#,,
A#,sus4,,x,1,2,3,4,1,1;4;5,A#,E#,A#,D#,E#,
A#,sus4,,x,x,1,1,2,4,1;4;5,E#,A#,D#,A#,,
A#,sus4,,1,1,3,4,1,1,1;4;5,A#,D#,A#,D#,E#,A#
A#,9-Jun,,x,1,0,0,2,3,1;3;5;6;9,A#,C##,F##,B#,E#,
