Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
A5 1,1,3,x,x,x,x,1;5,A,E,x,x,x,x
A5 2,x,1,1,x,x,x,1;5,E,A,x,x,x,x
A5 3,x,0,1,1,x,x,1;5,A,E,A,x,x,x
A5 4,x,0,1,x,x,x,1;5,A,E,x,x,x,x
A5 5,x,0,1,1,4,x,1;5,A,E,A,E,x,x
A5 6,4,x,1,1,x,x,1;5,A,E,A,x,x,x
A5 7,x,1,3,x,x,x,1;5,A,E,x,x,x,x
A5 8,1,3,4,x,x,x,1;5,A,E,A,x,x,x
A5 9,x,0,1,3,4,x,1;5,A,A,E,A,x,x
A5 10,x,x,1,3,x,x,1;5,A,E,x,x,x,x
A5 11,x,1,3,4,x,x,1;5,A,E,A,x,x,x
A5 12,x,x,1,3,4,x,1;5,A,E,A,x,x,x
A5 13,x,0,1,1,4,4,1;5,A,E,A,E,A,x
A5 14,x,x,x,1,4,x,1;5,A,E,x,x,x,x
A6 1,x,0,1,1,1,1,1;3;5;6,A,E,A,C#,F#,x
A6 2,1,x,3,2,4,1,1;3;5;6,A,A,C#,F#,A,x
A6 3,x,0,2,3,1,0,1;3;5;6,A,C#,F#,A,E,x
A6 4,x,0,4,1,2,0,1;3;5;6,A,F#,A,C#,E,x
A6 5,x,x,1,1,1,1,1;3;5;6,E,A,C#,F#,x,x
A6 6,x,1,x,2,3,0,1;3;5;6,F#,E,A,E,x,x
A6 7,2,x,1,4,3,x,1;3;5;6,A,F#,C#,E,x,x
A6 8,x,0,3,x,x,x,1;3;5;6,A,F#,x,x,x,x
A6 9,x,x,3,2,4,0,1;3;5;6,A,C#,F#,E,x,x
A6 10,x,x,x,1,1,1,1;3;5;6,A,C#,F#,x,x,x
A6 11,x,x,3,2,4,1,1;3;5;6,A,C#,F#,A,x,x
A6 12,x,0,x,2,4,1,1;3;5;6,A,C#,F#,A,x,x
A6 13,1,4,x,x,x,x,1;3;5;6,A,F#,x,x,x,x
A6 14,0,0,1,1,1,1,1;3;5;6,E,A,E,A,C#,F#
A6 15,x,x,x,2,4,1,1;3;5;6,C#,F#,A,x,x,x
A7 1,x,0,1,0,3,0,1;3;5;b7,A,E,G,C#,E,x
A7 2,1,3,1,2,4,1,1;3;5;b7,A,E,G,C#,G,A
A7 3,x,3,2,4,1,0,1;3;5;b7,A,C#,G,A,E,x
A7 4,1,3,1,2,1,1,1;3;5;b7,A,E,G,C#,E,A
A7 5,x,0,1,2,3,4,1;3;5;b7,A,E,A,C#,G,x
A7 6,x,0,2,0,3,4,1;3;5;b7,A,E,G,C#,G,x
A7 7,2,1,4,0,x,x,1;3;5;b7,A,C#,G,G,x,x
A7 8,x,3,2,0,1,0,1;3;5;b7,A,C#,G,A,E,x
A7 9,x,0,2,0,x,x,1;3;5;b7,A,E,G,x,x,x
A7 10,x,x,x,2,1,3,1;3;5;b7,E,G,C#,x,x,x
