Chord,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6
A5 1,1,3,x,x,x,x,1;5,A,E,x,x,x,x
A5 2,x,1,1,x,x,x,1;5,x,E,A,x,x,x
A5 3,x,0,1,1,x,x,1;5,x,A,E,A,x,x
A5 4,x,0,1,x,x,x,1;5,x,A,E,x,x,x
A5 5,x,0,1,1,4,x,1;5,x,A,E,A,E,x
A5 6,4,x,1,1,x,x,1;5,A,x,E,A,x,x
A5 7,x,1,3,x,x,x,1;5,x,A,E,x,x,x
A5 8,1,3,4,x,x,x,1;5,A,E,A,x,x,x
A5 9,x,0,1,3,4,x,1;5,x,A,A,E,A,x
A5 10,x,x,1,3,x,x,1;5,x,x,A,E,x,x
A5 11,x,1,3,4,x,x,1;5,x,A,E,A,x,x
A5 12,x,x,1,3,4,x,1;5,x,x,A,E,A,x
A5 13,x,0,1,1,4,4,1;5,x,A,E,A,E,A
A5 14,x,x,x,1,4,x,1;5,x,x,x,A,E,x
A6 1,x,0,1,1,1,1,1;3;5;6,x,A,E,A,C#,F#
A6 2,1,x,3,2,4,1,1;3;5;6,A,x,A,C#,F#,A
A6 3,x,0,2,3,1,0,1;3;5;6,x,A,C#,F#,A,E
A6 4,x,0,4,1,2,0,1;3;5;6,x,A,F#,A,C#,E
A6 5,x,x,1,1,1,1,1;3;5;6,x,x,E,A,C#,F#
A6 6,x,1,x,2,3,0,1;3;5;6,x,F#,x,E,A,E
A6 7,2,x,1,4,3,x,1;3;5;6,A,x,F#,C#,E,x
A6 8,x,0,3,x,x,x,1;3;5;6,x,A,F#,x,x,x
A6 9,x,x,3,2,4,0,1;3;5;6,x,x,A,C#,F#,E
A6 10,x,x,x,1,1,1,1;3;5;6,x,x,x,A,C#,F#
A6 11,x,x,3,2,4,1,1;3;5;6,x,x,A,C#,F#,A
A6 12,x,0,x,2,4,1,1;3;5;6,x,A,x,C#,F#,A
A6 13,1,4,x,x,x,x,1;3;5;6,A,F#,x,x,x,x
A6 14,0,0,1,1,1,1,1;3;5;6,E,A,E,A,C#,F#
A6 15,x,x,x,2,4,1,1;3;5;6,x,x,x,C#,F#,A
A7 1,x,0,1,0,3,0,1;3;5;b7,x,A,E,G,C#,E
A7 2,1,3,1,2,4,1,1;3;5;b7,A,E,G,C#,G,A
A7 3,x,3,2,4,1,0,1;3;5;b7,x,A,C#,G,A,E
A7 4,1,3,1,2,1,1,1;3;5;b7,A,E,G,C#,E,A
A7 5,x,0,1,2,3,4,1;3;5;b7,x,A,E,A,C#,G
A7 6,x,0,2,0,3,4,1;3;5;b7,x,A,E,G,C#,G
A7 7,2,1,4,0,x,x,1;3;5;b7,A,C#,G,G,x,x
A7 8,x,3,2,0,1,0,1;3;5;b7,x,A,C#,G,A,E
A7 9,x,0,2,0,x,x,1;3;5;b7,x,A,E,G,x,x
A7 10,x,x,x,2,1,3,1;3;5;b7,x,x,x,E,G,C#
A7 11,x,0,1,3,2,0,1;3;5;b7,x,A,G,C#,E,E
A7 12,x,2,1,3,x,x,1;3;5;b7,x,A,C#,G,x,x
A7 13,x,0,x,x,1,3,1;3;5;b7,x,A,x,x,C#,G
A7 14,1,x,2,3,x,x,1;3;5;b7,A,x,G,C#,x,x
A7 15,x,0,x,0,2,x,1;3;5;b7,x,A,x,G,C#,x
A7 16,x,0,3,0,2,1,1;3;5;b7,x,A,C#,G,A,C#
A7 17,x,2,x,1,3,0,1;3;5;b7,x,G,x,E,A,E
A9 1,x,0,1,3,1,2,1;3;5;b7;9,x,A,E,B,C#,G
A9 2,x,0,2,1,3,4,1;3;5;b7;9,x,A,G,B,E,A
A9 3,x,0,1,2,1,3,1;3;5;b7;9,x,A,G,C#,E,B
A11 1,x,0,0,0,0,0,1;3;5;b7;9;11,x,A,D,G,B,E
A11 2,x,0,3,2,1,1,1;3;5;b7;9;11,x,A,G,B,D,G
A11 3,x,0,1,1,2,1,1;3;5;b7;9;11,x,A,A,D,G,B
A13 1,x,0,4,3,1,1,1;3;5;b7;9;11;13,x,A,G,B,C#,F#
A13 2,1,x,1,2,3,4,1;3;5;b7;9;11;13,A,x,G,C#,F#,B
A13 3,x,0,1,2,3,4,1;3;5;b7;9;11;13,x,A,C#,G,B,F#
A13 4,x,0,1,2,3,1,1;3;5;b7;9;11;13,x,A,G,C#,F#,A
A13 5,1,3,1,2,4,1,1;3;5;b7;9;11;13,A,E,G,C#,F#,A
A13 6,1,x,2,3,4,x,1;3;5;b7;9;11;13,A,x,G,C#,F#,x
A13 7,1,x,3,2,4,x,1;3;5;b7;9;11;13,A,x,A,C#,F#,x
A13 8,x,1,3,4,2,x,1;3;5;b7;9;11;13,x,G,C#,F#,A,x
A13 9,x,2,1,3,3,4,1;3;5;b7;9;11;13,x,A,C#,G,B,F#
A13 10,x,x,2,1,3,3,1;3;5;b7;9;11;13,x,x,E,G,C#,F#
A13 11,x,x,1,2,3,1,1;3;5;b7;9;11;13,x,x,G,C#,F#,A
A13 12,x,x,1,2,3,3,1;3;5;b7;9;11;13,x,x,G,C#,F#,B
A43991 1,x,0,3,1,0,0,1;3;5;6;9,x,A,F#,A,B,E
A43991 2,x,0,1,1,3,4,1;3;5;6;9,x,A,F#,B,E,A
A43991 3,x,0,2,1,3,4,1;3;5;6;9,x,A,A,C#,F#,B
A13(#11) 1,x,1,2,2,4,3,1;3;5;b7;9;#11;13,x,G,C#,F#,B,D#
A13(#9) 1,x,x,1,2,3,4,1;3;5;b7;#9;11;13,x,x,G,C#,F#,B#
A13(b9) 1,x,x,1,2,4,3,1;3;5;b7;b9;11;13,x,x,G,C#,F#,Bb
A7(#11) 1,2,x,3,4,1,x,1;3;5;b7;#11,A,x,G,C#,D#,x
A7(#5) 1,x,0,3,0,2,1,1;3;#5;b7,x,A,E#,G,C#,E#
A7(#5) 2,1,x,1,2,3,1,1;3;#5;b7,A,x,G,C#,E#,A
A7(#5) 3,x,1,2,1,1,x,1;3;#5;b7,x,G,C#,E#,A,x
A7(#5) 4,1,x,2,3,4,x,1;3;#5;b7,A,x,G,C#,E#,x
A7(#9) 1,x,0,1,4,1,2,1;3;5;b7;#9,x,A,E,B#,C#,G
A7(#9) 2,x,0,1,2,1,4,1;3;5;b7;#9,x,A,G,C#,E,B#
A7(#9) 3,x,2,1,3,4,0,1;3;5;b7;#9,x,A,C#,G,B#,E
A7(#9) 4,x,0,2,1,4,4,1;3;5;b7;#9,x,A,A,C#,G,B#
A7(#9) 5,x,2,3,1,4,4,1;3;5;b7;#9,x,E,A,C#,G,B#
A7(#9) 6,x,2,1,3,4,x,1;3;5;b7;#9,x,A,C#,G,B#,x
A7(#9) 7,x,x,2,1,3,4,1;3;5;b7;#9,x,x,A,C#,G,B#
A7(#9) 8,1,3,1,2,4,4,1;3;5;b7;#9,A,E,G,C#,G,B#
A7(#9) 9,x,x,1,2,1,4,1;3;5;b7;#9,x,x,G,C#,E,B#
A7(#9) 10,2,1,3,3,x,x,1;3;5;b7;#9,A,C#,G,B#,x,x
A7(b13) 1,x,0,2,0,3,1,1;3;5;b7;b13,x,A,E,G,C#,F
A7(b9) 1,3,2,4,1,x,x,1;3;5;b7;b9,A,C#,G,Bb,x,x
A7(b9) 2,1,x,1,2,1,3,1;3;5;b7;b9,A,x,G,C#,E,Bb
A7(b9) 3,x,0,1,3,2,x,1;3;5;b7;b9,x,A,C#,G,Bb,x
A7b5 1,x,0,1,0,2,x,1;3;b5;b7,x,A,Eb,G,C#,x
A7b5 2,x,0,2,4,1,3,1;3;b5;b7,x,A,G,C#,Eb,A
A7b5 3,x,0,1,2,3,4,1;3;b5;b7,x,A,A,Eb,G,C#
A7sus4 1,x,0,1,0,3,0,1;4;5;b7,x,A,E,G,D,E
A7sus4 2,1,3,1,4,1,1,1;4;5;b7,A,E,G,D,E,A
A7sus4 3,x,0,1,1,2,4,1;4;5;b7,x,A,A,D,G,D
A9(#11) 1,2,x,3,1,1,x,1;3;5;b7;9;#11,A,x,G,B,D#,x
A9b5 1,x,0,1,0,0,x,1;3;b5;b7;9,x,A,Eb,G,B,x
A9b5 2,2,1,3,1,1,4,1;3;b5;b7;9,A,C#,G,B,Eb,A
A9b5 3,x,0,1,2,3,1,1;3;b5;b7;9,x,A,A,Eb,G,B
Aadd9 1,x,0,2,1,0,0,1;3;5;9,x,A,A,C#,B,E
Aadd9 2,x,0,1,4,2,0,1;3;5;9,x,A,E,B,C#,E
Aadd9 3,1,3,4,2,0,0,1;3;5;9,A,E,A,C#,B,E
Aadd9 4,x,x,3,2,1,4,1;3;5;9,x,x,A,C#,E,B
Aadd9 5,0,3,4,2,0,0,1;3;5;9,E,E,A,C#,B,E
Aadd9 6,x,2,3,1,0,0,1;3;5;9,x,E,A,C#,B,E
Aaug 1,x,3,2,1,1,x,1;3;#5,x,C#,E#,A,C#,x
Aaug 2,4,3,2,1,x,x,1;3;#5,A,C#,E#,A,x,x
Aaug 3,x,x,4,2,3,1,1;3;#5,x,x,C#,E#,A,C#
Aaug 4,x,0,4,2,3,1,1;3;#5,x,A,E#,A,C#,E#
Adim 1,x,0,1,2,3,x,1;b3;b5,x,A,Eb,A,C,x
Adim 2,x,0,4,3,1,2,1;b3;b5,x,A,A,C,Eb,A
Adim 3,x,0,1,2,4,3,1;b3;b5,x,A,A,Eb,A,C
Adim 4,x,0,1,3,x,x,1;b3;b5,x,A,Eb,A,x,x
Adim7 1,2,4,1,3,x,x,1;b3;b5;bb7,A,Eb,Gb,C,x,x
Adim7 2,x,2,3,1,4,x,1;b3;b5;bb7,x,Gb,C,Eb,A,x
Adim7 3,x,x,1,3,2,4,1;b3;b5;bb7,x,x,C,Gb,A,Eb
Adim7 4,x,x,1,3,2,4,1;b3;b5;bb7,x,x,Eb,A,C,Gb
Adim7 5,x,0,1,3,2,4,1;b3;b5;bb7,x,A,Gb,C,Eb,A
Adim7 6,x,x,1,3,2,4,1;b3;b5;bb7,x,x,A,Eb,Gb,C
Adim7 7,x,0,1,3,x,x,1;b3;b5;bb7,x,A,Gb,C,x,x
Adim7 8,x,x,1,3,2,4,1;b3;b5;bb7,x,x,Gb,C,Eb,A
Adim7 9,2,x,1,3,1,x,1;b3;b5;bb7,A,x,Gb,C,Eb,x
Adim7 10,x,x,x,2,1,3,1;b3;b5;bb7,x,x,x,Eb,Gb,C
Adim7 11,x,0,x,2,1,3,1;b3;b5;bb7,x,A,x,Eb,Gb,C
Adim7 12,x,0,x,x,3,1,1;b3;b5;bb7,x,A,x,x,Eb,Gb
Adim7 13,x,2,3,1,4,x,1;b3;b5;bb7,x,A,Eb,Gb,C,x
Adim7 14,2,x,1,3,x,x,1;b3;b5;bb7,A,x,Gb,C,x,x
Adim7 15,x,3,1,2,x,x,1;b3;b5;bb7,x,Gb,A,Eb,x,x
Adim7 16,x,3,1,2,x,x,1;b3;b5;bb7,x,A,C,Gb,x,x
Adim7 17,x,2,3,1,4,x,1;b3;b5;bb7,x,Eb,A,C,Gb,x
Adim7 18,2,x,1,3,x,x,1;b3;b5;bb7,Gb,x,Eb,A,x,x
Am 1,0,0,2,3,1,0,1;b3;5,A,E,A,C,E,E
Am 2,1,3,4,1,1,1,1;b3;5,A,E,A,C,E,A
Am 3,x,0,1,3,4,2,1;b3;5,x,A,A,E,A,C
Am 4,x,0,3,1,1,1,1;b3;5,x,A,A,C,E,A
Am 5,x,4,2,3,1,0,1;b3;5,x,C,E,A,C,E
Am 6,x,x,3,1,1,1,1;b3;5,x,x,A,C,E,A
Am 7,x,x,x,2,1,0,1;b3;5,x,x,x,C,E,E
