Root,E,A,D,G,B,E2,Structure,Note1,Note2,Note3,Note4,Note5,Note6,FretE,FretA,FretD,FretG,FretB,FretE2
Dm,x,x,0,2,3,1,1;b3;5,,,D,A,D,F#,,,0,2,3,2
Em,0,2,3,0,0,0,1;b3;5,E,B,E,G,B,E,0,2,2,0,0,0
A,0,0,1,2,3,0,1;3;5,E,A,E,A,C#,E,0,0,2,2,2,0
B,x,1,2,3,4,1,1;3;5,,B,F#,B,D#,F#,,2,4,4,4,2
C,0,3,2,0,1,0,1;3;5,E,C,E,G,C,E,0,3,2,0,1,0
D,x,0,0,1,3,2,1;3;5,,A,D,A,D,F#,,0,0,2,3,2
E,0,2,3,1,0,0,1;3;5,E,B,E,G#,B,E,0,2,2,1,0,0
F,1,3,4,2,1,1,1;3;5,F,C,F,A,C,F,1,3,3,2,1,1
G,2,1,0,0,0,3,1;3;5,G,B,D,G,B,G,3,2,0,0,0,3
Am,0,0,3,2,1,0,1;3;5,E,A,E,A,C,E,0,0,2,2,1,0
